"victim_zip","SpeciesIDDesc","bite_date","BreedIDDesc","GenderIDDesc","color","vaccination_yrs","vaccination_date","AdvIssuedYNDesc","WhereBittenIDDesc","quarantine_date","DispositionIDDesc","head_sent_date","release_date","ResultsIDDesc","datadif","year","month","season","total","class","CountryCode","PlaceName","AdminName1","AdminCode1","AdminName2","AdminCode2","AdminName3","AdminCode3","latitude","longitude","accuracy"
"29717","DOG",2014-08-08,"PIT BULL","FEMALE","BROWN",NA,NA,NA,"HEAD",NA,NA,NA,NA,NA,NA,2014,8,"summer",7003,"domestic","US","Hickory Grove","South Carolina","SC","York",91,"",NA,34.9708,-81.4306,4
"30067","DOG",2013-05-04,NA,"MALE","BLCK",1,"2013-05-01 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,5,"spring",7003,"domestic","US","Marietta","Georgia","GA","Cobb",67,"",NA,33.9282,-84.4733,4
"30305","DOG",2011-11-24,"WESTIE","FEMALE","WHITE",1,"2011-06-06 00:00:00","NO","HEAD","2011-11-28 00:00:00","RELEASED",NA,NA,NA,NA,2011,11,"fall",7003,"domestic","US","Atlanta","Georgia","GA","Fulton",121,"",NA,33.832,-84.3851,4
"32162","DOG",2015-05-29,NA,"MALE","WHITE",3,"2014-10-06 00:00:00",NA,"UNKNOWN",NA,NA,NA,"2015-06-08 00:00:00",NA,NA,2015,5,"spring",7003,"domestic","US","The Villages","Florida","FL","Sumter",119,"",NA,28.9341,-81.9599,4
"32259","DOG",2017-08-29,"GERM SHEPHERD","MALE","WHITE",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2017,8,"summer",7003,"domestic","US","Saint Johns","Florida","FL","Saint Johns",109,"",NA,30.0815,-81.5477,1
"33418","DOG",2013-06-28,NA,"FEMALE","CREAM",1,"2013-01-10 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,6,"summer",7003,"domestic","US","Palm Beach Gardens","Florida","FL","Palm Beach",99,"",NA,26.8234,-80.1387,4
"34949","DOG",2017-07-03,"DACHSHUND","FEMALE","BLK TAN",1,"2016-10-01 00:00:00",NA,"BODY",NA,NA,NA,"2017-07-13 00:00:00",NA,NA,2017,7,"summer",7003,"domestic","US","Fort Pierce","Florida","FL","St. Lucie",111,"",NA,27.3896,-80.2615,4
"34952","CAT",2015-12-26,NA,"MALE","GRY BRN",1,"2015-05-15 00:00:00",NA,"BODY",NA,NA,NA,"2016-01-07 00:00:00",NA,NA,2015,12,"winter",1561,"domestic","US","Port Saint Lucie","Florida","FL","St. Lucie",111,"",NA,27.2889,-80.298,4
"34994","DOG",2013-05-26,"YORKSHIRE TERRIER","FEMALE","GRAY BRN",1,"2013-01-25 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,5,"spring",7003,"domestic","US","Stuart","Florida","FL","Martin",85,"",NA,27.1968,-80.2538,4
"36092","DOG",2014-07-26,"PIT BULL","MALE","BLK",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2014,7,"summer",7003,"domestic","US","Wetumpka","Alabama","AL","Elmore",51,"",NA,32.5927,-86.2153,4
"36362","DOG",2015-09-05,"PIT BULL",NA,"BLK WHITE",NA,NA,NA,"BODY",NA,NA,NA,"2015-09-15 00:00:00",NA,NA,2015,9,"fall",7003,"domestic","US","Fort Rucker","Alabama","AL","Dale",45,"",NA,31.348,-85.7214,4
"36542","DOG",2014-12-27,"BLACK LAB",NA,"BLACK",NA,NA,NA,"HEAD",NA,NA,NA,NA,NA,NA,2014,12,"winter",7003,"domestic","US","Gulf Shores","Alabama","AL","Baldwin",3,"",NA,30.2717,-87.7589,4
"36877","DOG",2015-04-10,"PIT BULL","MALE","BRINDLE",1,"2014-05-01 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2015,4,"spring",7003,"domestic","US","Smiths Station","Alabama","AL","Lee",81,"",NA,32.5401,-85.0985,4
"37013","DOG",2015-07-18,NA,"FEMALE","BLK BRN",3,"2013-10-07 00:00:00",NA,"UNKNOWN",NA,NA,NA,"2015-07-28 00:00:00",NA,NA,2015,7,"summer",7003,"domestic","US","Antioch","Tennessee","TN","Davidson",37,"",NA,36.0595,-86.6592,4
"37075","DOG",2012-10-25,"PIT BULL",NA,NA,NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2012,10,"fall",7003,"domestic","US","Hendersonville","Tennessee","TN","Sumner",165,"",NA,36.3054,-86.6072,4
"37087","DOG",2017-06-15,"HUSKY","FEMALE","WHITE",1,"2017-08-20 00:00:00",NA,"BODY",NA,NA,NA,"2017-06-26 00:00:00",NA,NA,2017,6,"summer",7003,"domestic","US","Lebanon","Tennessee","TN","Wilson",189,"",NA,36.2098,-86.3024,4
"37204","DOG",2014-07-04,NA,"MALE","TAN WHITE",1,"2014-07-15 00:00:00",NA,"HEAD",NA,NA,NA,NA,NA,NA,2014,7,"summer",7003,"domestic","US","Nashville","Tennessee","TN","Davidson",37,"",NA,36.1067,-86.7743,4
"37228","DOG",2014-05-03,NA,NA,NA,NA,NA,NA,"HEAD",NA,NA,NA,NA,NA,NA,2014,5,"spring",7003,"domestic","US","Nashville","Tennessee","TN","Davidson",37,"",NA,36.1901,-86.8053,4
"37601","DOG",2014-05-03,"GERM SHEPHERD","FEMALE","TAN BLACK",3,"2014-05-16 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2014,5,"spring",7003,"domestic","US","Johnson City","Tennessee","TN","Washington",179,"",NA,36.3339,-82.3408,4
"38585","DOG",2014-06-15,NA,"FEMALE","BLACK",1,"2014-08-02 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2014,6,"summer",7003,"domestic","US","Spencer","Tennessee","TN","Van Buren",175,"",NA,35.7279,-85.4287,4
"39571","DOG",2013-05-05,"CANE CORSO","MALE","TAN",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2013,5,"spring",7003,"domestic","US","Pass Christian","Mississippi","MS","Harrison",47,"",NA,30.3989,-89.2843,4
"40004","DOG",2014-06-19,"PIT BULL","MALE","BLCK WHTE",NA,"2013-10-23 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2014,6,"summer",7003,"domestic","US","Bardstown","Kentucky","KY","Nelson",179,"",NA,37.8083,-85.4613,4
"40004","DOG",2010-05-31,NA,"UNKNOWN",NA,NA,NA,"NO","HEAD","2010-06-01 00:00:00","UNKNOWN",NA,NA,"UNKNOWN",NA,2010,5,"spring",7003,"domestic","US","Bardstown","Kentucky","KY","Nelson",179,"",NA,37.8083,-85.4613,4
"40004","DOG",2011-09-03,"LABRADOR RETRIV","FEMALE","BLACK",NA,NA,"NO","BODY","2011-09-07 00:00:00","RELEASED",NA,NA,NA,NA,2011,9,"fall",7003,"domestic","US","Bardstown","Kentucky","KY","Nelson",179,"",NA,37.8083,-85.4613,4
"40004","DOG",2011-06-19,NA,NA,NA,NA,NA,"NO","HEAD","2011-06-21 00:00:00",NA,NA,NA,NA,NA,2011,6,"summer",7003,"domestic","US","Bardstown","Kentucky","KY","Nelson",179,"",NA,37.8083,-85.4613,4
"40004","DOG",2014-12-11,"PIT BULL","MALE","BLACK WHIT",NA,"2014-12-18 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2014,12,"winter",7003,"domestic","US","Bardstown","Kentucky","KY","Nelson",179,"",NA,37.8083,-85.4613,4
"40004","DOG",2012-11-26,NA,"MALE","WHT/BRN",1,"2012-03-03 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2012,11,"fall",7003,"domestic","US","Bardstown","Kentucky","KY","Nelson",179,"",NA,37.8083,-85.4613,4
"40004","DOG",2017-07-28,"GREAT DANE","MALE","BLK WHT",1,"2017-01-19 00:00:00",NA,"BODY",NA,NA,NA,"2017-08-09 00:00:00",NA,NA,2017,7,"summer",7003,"domestic","US","Bardstown","Kentucky","KY","Nelson",179,"",NA,37.8083,-85.4613,4
"40004","DOG",2011-12-25,NA,NA,NA,NA,NA,"YES","UNKNOWN",NA,NA,NA,NA,NA,NA,2011,12,"winter",7003,"domestic","US","Bardstown","Kentucky","KY","Nelson",179,"",NA,37.8083,-85.4613,4
"40004","DOG",2017-04-22,"SCHNAUZER","MALE","BLK WHT",1,"2017-06-17 00:00:00",NA,"BODY",NA,NA,NA,"2017-05-09 00:00:00",NA,NA,2017,4,"spring",7003,"domestic","US","Bardstown","Kentucky","KY","Nelson",179,"",NA,37.8083,-85.4613,4
"40004","DOG",2017-07-28,"BOXER","FEMALE","BRN WHT",1,"2017-05-10 00:00:00",NA,"BODY",NA,NA,NA,"2017-08-07 00:00:00",NA,NA,2017,7,"summer",7003,"domestic","US","Bardstown","Kentucky","KY","Nelson",179,"",NA,37.8083,-85.4613,4
"40004","CAT",2010-11-22,NA,"UNKNOWN",NA,NA,NA,"NO","BODY","2010-11-22 00:00:00","UNKNOWN",NA,NA,"UNKNOWN",NA,2010,11,"fall",1561,"domestic","US","Bardstown","Kentucky","KY","Nelson",179,"",NA,37.8083,-85.4613,4
"40006","DOG",2010-03-10,NA,"MALE","TRI",1,"2009-11-07 00:00:00","NO","BODY","2010-03-11 00:00:00","RELEASED",NA,NA,"UNKNOWN",NA,2010,3,"spring",7003,"domestic","US","Bedford","Kentucky","KY","Trimble",223,"",NA,38.5864,-85.3133,4
"40006","CAT",2011-04-11,NA,"MALE","ORANGE",1,"2011-03-17 00:00:00","NO","BODY","2011-04-11 00:00:00",NA,NA,NA,NA,NA,2011,4,"spring",1561,"domestic","US","Bedford","Kentucky","KY","Trimble",223,"",NA,38.5864,-85.3133,4
"40008","DOG",2011-10-05,"AKITA","FEMALE","TRI",NA,NA,"NO","BODY","2011-10-06 00:00:00",NA,NA,NA,NA,NA,2011,10,"fall",7003,"domestic","US","Bloomfield","Kentucky","KY","Nelson",179,"",NA,37.908,-85.2862,4
"40011","DOG",2016-01-25,"AMER. BULL DOG","FEMALE","WHT BRN",3,"2016-02-09 00:00:00",NA,"UNKNOWN",NA,NA,NA,"2016-02-08 00:00:00",NA,NA,2016,1,"winter",7003,"domestic","US","Campbellsburg","Kentucky","KY","Henry",103,"",NA,38.5231,-85.1611,4
"40013","DOG",2012-03-12,NA,"FEMALE","RED",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2012,3,"spring",7003,"domestic","US","Coxs Creek","Kentucky","KY","Nelson",179,"",NA,37.9125,-85.4658,4
"40013","DOG",2016-01-25,"PIT BULL","MALE","RED WHT",NA,NA,NA,"UNKNOWN",NA,NA,NA,"2016-02-04 00:00:00",NA,NA,2016,1,"winter",7003,"domestic","US","Coxs Creek","Kentucky","KY","Nelson",179,"",NA,37.9125,-85.4658,4
"40013","DOG",2013-05-01,"BOXER","FEMALE","BRN",3,"2013-03-07 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,5,"spring",7003,"domestic","US","Coxs Creek","Kentucky","KY","Nelson",179,"",NA,37.9125,-85.4658,4
"40013","CAT",2010-06-20,NA,"UNKNOWN",NA,NA,NA,"NO","BODY","2010-06-20 00:00:00","UNKNOWN",NA,NA,"UNKNOWN",NA,2010,6,"summer",1561,"domestic","US","Coxs Creek","Kentucky","KY","Nelson",179,"",NA,37.9125,-85.4658,4
"40014","DOG",2012-07-08,"BRITNEY SPANIEL","MALE","ORG/WHT",1,"2012-06-18 00:00:00",NA,"HEAD",NA,NA,NA,NA,NA,NA,2012,7,"summer",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2014-03-30,"SCHNAUZER","MALE","BLK WHTE",1,"2013-07-02 00:00:00",NA,"HEAD",NA,NA,NA,NA,NA,NA,2014,3,"spring",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2010-09-30,NA,"MALE","GRAY",3,"2010-06-25 00:00:00","NO","BODY","2010-10-06 00:00:00","RELEASED",NA,NA,"UNKNOWN",NA,2010,9,"fall",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2017-03-01,"CHICHAUHUA",NA,"BLACK",3,"2016-05-16 00:00:00","NO","HEAD","2017-03-03 00:00:00",NA,NA,NA,NA,NA,2017,3,"spring",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2013-06-20,NA,NA,NA,NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2013,6,"summer",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2017-05-30,"GERM SHEPHERD","MALE","BRN BLK",1,"2017-06-12 00:00:00",NA,"BODY",NA,NA,NA,"2017-06-09 00:00:00",NA,NA,2017,5,"spring",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2017-04-14,"AAUST. TERR.","MALE","BROWN",1,"2016-05-26 00:00:00",NA,"HEAD",NA,NA,NA,"2017-05-01 00:00:00",NA,NA,2017,4,"spring",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2010-02-10,NA,"MALE","BLK-WHT",1,"2009-08-22 00:00:00","NO","BODY","2010-02-19 00:00:00","RELEASED",NA,NA,"UNKNOWN",NA,2010,2,"winter",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2011-05-11,"BOXER","MALE","TAN",NA,NA,"NO","BODY","2011-05-12 00:00:00",NA,NA,NA,NA,NA,2011,5,"spring",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2017-07-13,"OTHER","MALE",NA,1,"2017-05-09 00:00:00",NA,"BODY",NA,NA,NA,"2017-07-25 00:00:00",NA,NA,2017,7,"summer",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2015-04-30,NA,NA,"BRINDLE",NA,NA,"YES","BODY",NA,"UNKNOWN",NA,NA,NA,NA,2015,4,"spring",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","CAT",2015-12-24,NA,"FEMALE","TORTIE",1,"2016-01-09 00:00:00",NA,"BODY",NA,NA,NA,"2016-01-04 00:00:00",NA,NA,2015,12,"winter",1561,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2014-06-26,"ROTTWEILER","MALE","BLK BRN",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2014,6,"summer",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","CAT",2015-06-12,NA,NA,"ORG TABBY",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2015,6,"summer",1561,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2015-08-14,"PIT BULL","UNKNOWN","TAN/WHT",3,"2015-08-25 00:00:00",NA,"BODY",NA,NA,NA,"2015-08-25 00:00:00",NA,NA,2015,8,"summer",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2012-01-12,NA,"MALE","BRN/WHT",NA,NA,NA,"BODY",NA,"UNKNOWN",NA,NA,NA,NA,2012,1,"winter",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2016-05-16,"PIT BULL","MALE","BLUE",3,"2016-04-11 00:00:00",NA,"BODY",NA,NA,NA,"2016-05-31 00:00:00",NA,NA,2016,5,"spring",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2012-12-26,"GOLD RETRIEVER","MALE",NA,1,"2012-04-03 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2012,12,"winter",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2012-03-25,NA,"MALE","BRN/WHT",NA,NA,NA,"HEAD",NA,NA,NA,NA,NA,NA,2012,3,"spring",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2011-09-02,NA,NA,"BRN-WHT",NA,NA,"NO","HEAD","2011-09-02 00:00:00",NA,NA,NA,NA,NA,2011,9,"fall",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2010-04-28,NA,"FEMALE","TRI",NA,NA,"NO","BODY","2010-04-29 00:00:00","RELEASED",NA,NA,"UNKNOWN",NA,2010,4,"spring",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2013-01-31,"PEKINGESE","FEMALE","BLK WHIT",1,"2012-11-09 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,1,"winter",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2016-03-04,"ROTTWEILER","FEMALE","BLK BRN",NA,NA,NA,"BODY",NA,NA,NA,"2016-03-14 00:00:00",NA,NA,2016,3,"spring",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2014-02-17,NA,"MALE","BROWN",3,"2013-11-06 00:00:00",NA,"HEAD",NA,NA,NA,NA,NA,NA,2014,2,"winter",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","CAT",2010-10-19,NA,"UNKNOWN",NA,NA,NA,"YES","BODY","2010-10-21 00:00:00","UNKNOWN",NA,NA,"UNKNOWN",NA,2010,10,"fall",1561,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40014","DOG",2012-12-29,"BRITNEY SPANIEL","MALE","RED/WHT",1,"2012-09-21 00:00:00",NA,"HEAD",NA,NA,NA,NA,NA,NA,2012,12,"winter",7003,"domestic","US","Crestwood","Kentucky","KY","Oldham",185,"",NA,38.3326,-85.461,4
"40019","DOG",2010-11-19,NA,"FEMALE","TRI",NA,NA,"NO","BODY","2010-11-19 00:00:00","UNKNOWN",NA,NA,"UNKNOWN",NA,2010,11,"fall",7003,"domestic","US","Eminence","Kentucky","KY","Henry",103,"",NA,38.3696,-85.1782,4
"40019","DOG",2013-08-29,"SHIH TZU","FEMALE","BLK WHIT",1,"2013-07-22 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,8,"summer",7003,"domestic","US","Eminence","Kentucky","KY","Henry",103,"",NA,38.3696,-85.1782,4
"40022","DOG",2015-04-04,NA,NA,"BRN WHITE",1,"2014-12-23 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2015,4,"spring",7003,"domestic","US","Finchville","Kentucky","KY","Shelby",211,"",NA,38.1561,-85.3476,4
"40023","DOG",2014-02-16,"DACHSHUND","FEMALE","BRN BLCK",1,"2014-02-21 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2014,2,"winter",7003,"domestic","US","Fisherville","Kentucky","KY","Jefferson",111,"",NA,38.1652,-85.4282,4
"40023","DOG",2011-10-24,NA,"MALE","RED",1,"2011-11-11 00:00:00","NO","BODY","2011-10-26 00:00:00","RELEASED",NA,NA,NA,NA,2011,10,"fall",7003,"domestic","US","Fisherville","Kentucky","KY","Jefferson",111,"",NA,38.1652,-85.4282,4
"40023","CAT",2014-02-23,NA,"MALE","BLACK",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2014,2,"winter",1561,"domestic","US","Fisherville","Kentucky","KY","Jefferson",111,"",NA,38.1652,-85.4282,4
"40023","CAT",2011-10-03,NA,NA,NA,NA,NA,"YES","BODY",NA,NA,NA,NA,NA,NA,2011,10,"fall",1561,"domestic","US","Fisherville","Kentucky","KY","Jefferson",111,"",NA,38.1652,-85.4282,4
"40023","DOG",2011-09-20,"SHIH TZU","MALE","CREAM",1,"2010-10-19 00:00:00","NO","HEAD","2011-09-20 00:00:00","RELEASED",NA,NA,NA,NA,2011,9,"fall",7003,"domestic","US","Fisherville","Kentucky","KY","Jefferson",111,"",NA,38.1652,-85.4282,4
"40023","DOG",2010-04-18,NA,"UNKNOWN","BROWN",NA,"2008-02-28 00:00:00","NO","BODY","2010-04-19 00:00:00","UNKNOWN",NA,NA,"UNKNOWN",NA,2010,4,"spring",7003,"domestic","US","Fisherville","Kentucky","KY","Jefferson",111,"",NA,38.1652,-85.4282,4
"40023","DOG",2013-09-25,"LHASA APSO","MALE","GOLDEN",1,"2013-03-09 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,9,"fall",7003,"domestic","US","Fisherville","Kentucky","KY","Jefferson",111,"",NA,38.1652,-85.4282,4
"40023","DOG",2013-08-13,NA,NA,NA,NA,NA,NA,"HEAD",NA,NA,NA,NA,NA,NA,2013,8,"summer",7003,"domestic","US","Fisherville","Kentucky","KY","Jefferson",111,"",NA,38.1652,-85.4282,4
"40023","DOG",2015-10-15,"OTHER",NA,"TAN",1,"2015-01-21 00:00:00",NA,"UNKNOWN",NA,NA,NA,"2015-10-26 00:00:00",NA,NA,2015,10,"fall",7003,"domestic","US","Fisherville","Kentucky","KY","Jefferson",111,"",NA,38.1652,-85.4282,4
"40023","CAT",2010-04-22,NA,"MALE","GRAY",1,"2010-04-04 00:00:00","YES","BODY","2010-04-23 00:00:00","RELEASED",NA,NA,"UNKNOWN",NA,2010,4,"spring",1561,"domestic","US","Fisherville","Kentucky","KY","Jefferson",111,"",NA,38.1652,-85.4282,4
"40023","DOG",2014-01-22,NA,"FEMALE","BLK BRN",3,"2014-02-07 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2014,1,"winter",7003,"domestic","US","Fisherville","Kentucky","KY","Jefferson",111,"",NA,38.1652,-85.4282,4
"40023","DOG",2012-02-21,NA,NA,NA,NA,NA,NA,"HEAD",NA,NA,NA,NA,NA,NA,2012,2,"winter",7003,"domestic","US","Fisherville","Kentucky","KY","Jefferson",111,"",NA,38.1652,-85.4282,4
"40026","DOG",2013-08-20,NA,"MALE","GOLDEN",3,"2013-02-09 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,8,"summer",7003,"domestic","US","Goshen","Kentucky","KY","Oldham",185,"",NA,38.4113,-85.5708,4
"40026","DOG",2014-02-10,"HUSKY","FEMALE","BLONDE TAN",1,"2013-06-21 00:00:00","NO","HEAD","2014-02-11 00:00:00","RELEASED",NA,NA,NA,NA,2014,2,"winter",7003,"domestic","US","Goshen","Kentucky","KY","Oldham",185,"",NA,38.4113,-85.5708,4
"40026","DOG",2012-10-16,NA,"MALE","BLK & WHT",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2012,10,"fall",7003,"domestic","US","Goshen","Kentucky","KY","Oldham",185,"",NA,38.4113,-85.5708,4
"40031","DOG",2014-06-27,"PIT BULL",NA,"BROWN",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2014,6,"summer",7003,"domestic","US","La Grange","Kentucky","KY","Oldham",185,"",NA,38.4029,-85.3928,4
